vatnLnr,area_km2,circum_km,avg_dep_m,max_dep_m,vol_Mm3,res_time_yr,regine,width_m,length_m,aspect_ratio,vassom,slp_min,slp_p25,slp_median,slp_p75,slp_max,slp_mean,slp_std,slp_count,dem_min,dem_p25,dem_median,dem_p75,dem_max,dem_mean,dem_std,dem_count,delta_elev
477,1.37,5.53,11.0,26.0,15.008,0.044,151.CD1,319.43645730497474,4664.778622082478,14.603150377506491,151,0.0,2.424863338470459,5.0313005447387695,7.768048644065857,16.04757308959961,5.25891256220726,3.389253227624376,1708,179.8074188232422,184.6312026977539,191.40966796875,205.04574584960938,238.8103485107422,195.749743852459,13.153717510531855,1708,15.942325029216818
497,4.92,12.49,15.0,33.0,72.818,0.365,152.2D1,857.0895291232105,5781.878686779812,6.745944840435264,152,0.0,4.201289653778076,7.722641944885254,11.929721117019653,28.298322677612305,8.366180592337571,5.271504009323135,7080,44.07890701293945,60.53886795043945,86.58316040039062,122.20515060424805,254.65176391601562,98.20411370056497,45.88442460125512,7080,54.12520668762552
501,190.0,0.0,66.0,231.0,12600.0,9.04420294,155.C5,1559.095309074357,139856.02295741744,89.70331842025149,155,0.0,5.452533483505249,9.090100288391113,14.355676651000977,56.600128173828125,10.67406916489079,7.188137056178785,175031,359.40771484375,419.90069580078125,468.62384033203125,542.6631774902344,1217.83056640625,501.80194365569525,113.52778453434352,175031,142.39422881194525
42553,0.46,4.34,4.0,14.0,1.945,0.206,155.D51,163.8576457757713,3128.0860812068827,19.090266227109527,155,0.0060477666556835175,2.031876564025879,4.038150787353516,6.223762512207031,15.319128036499023,4.416496484375,3.026928966156812,625,454.5,456.7582092285156,460.1722717285156,465.16717529296875,492.7100524902344,461.9478,6.593068251483003,625,7.447799999999972
514,36.0,0.0,45.0,129.0,1647.0,0.595865,012.G210,1054.9249418757718,35380.00761711586,33.537938305076324,012,0.0,5.943761825561523,10.556768417358398,16.9486083984375,55.47434997558594,12.352091299900138,8.76116923833625,41057,149.4036102294922,180.26327514648438,236.056640625,304.61688232421875,712.4859619140625,253.4877609177485,86.07234536768573,41057,104.0841506882563
515,13.7,0.0,33.0,94.8,452.0,0.4,012.L21,502.7508481066452,26685.188858813824,53.07835672343465,012,0.0,7.780192852020264,13.868265151977539,19.716312408447266,56.51729965209961,14.805835353651966,9.057049199469178,12993,328.9488220214844,371.0423889160156,398.7215881347656,445.4404296875,681.2794799804688,415.11810205495266,55.452467351612654,12993,86.16928003346828
516,10.75,0.0,23.0,76.0,270.0,0.4468751,012.M3,427.1853115079175,26688.361293413058,62.474903922155136,012,0.0,6.2948997020721436,10.650200843811035,15.830240249633789,43.476383209228516,11.798416121966076,7.34297587377376,10671,361.45361328125,380.2394561767578,399.3642578125,428.01698303222656,575.3106689453125,409.1414113016587,37.6385171861736,10671,47.68779802040871
517,17.4,0.0,68.0,154.0,1200.0,4.99990718,012.P10,760.8889817178951,24245.28842472851,31.864423072586455,012,0.002206651261076331,10.242685079574585,17.803466796875,26.188503742218018,69.65569305419922,19.557665239401967,12.396022806818166,21136,461.78143310546875,501.8593215942383,556.1301879882812,653.6767883300781,1191.899658203125,595.1328538985617,124.51534159808911,21136,133.35142079309298
521,41.0,0.0,32.0,130.0,1337.0,0.36021162,012.CB1,672.5099811658401,65286.77703489362,97.07926850649072,012,0.0,5.832417130470276,11.108939170837402,18.19054937362671,57.53527069091797,12.898219173373993,9.013860073471244,40006,130.96533203125,152.2389678955078,182.58535766601562,233.04430770874023,607.8386840820312,203.83794930760385,69.38718066359347,40006,72.87261727635385
522,140.0,0.0,93.0,288.0,13130.0,2.53113008,012.D51,1526.9662432492114,89434.81275742289,58.570261885499,012,0.0,3.61237895488739,7.741763591766357,14.283685684204102,61.29534912109375,9.973191200315526,8.32711561716238,114095,60.45166015625,89.19755935668945,131.83847045898438,247.59394073486328,597.9049682617188,180.91274814847276,119.10220317869336,114095,120.46108799222276
531,13.13,0.0,15.0,37.0,206.5,0.46100056,012.JC11,708.9972576254113,18962.986431661906,26.746205613224998,012,0.0,2.0045589208602905,3.289093017578125,6.587008237838745,34.08610534667969,4.869503336622351,4.3815203897478145,12035,809.2552490234375,828.2821960449219,837.6463012695312,854.1899108886719,1019.6047973632812,847.9474034067304,32.18321159068566,12035,38.69215438329286
538,0.56,0.0,13.0,28.0,7.5,0.04222166,012.Q30,286.1537096819759,1975.2885825875348,6.902893500080154,012,0.02863922342658043,11.30366325378418,20.796539306640625,27.887969970703125,37.87291717529297,19.42476260359116,10.445247940817467,905,511.1274719238281,522.8643798828125,549.9227905273438,595.1781005859375,685.0191040039062,562.5845303867403,44.035644102381845,905,51.45705846291219
542,27.6,0.0,85.0,156.0,2360.0,7.83579029,012.AB51,1234.6451345449896,22451.192807560546,18.184328581049815,012,0.0,6.6845173835754395,12.236740112304688,18.444287300109863,57.43535232543945,13.111338923332587,8.414994852599019,31291,18.402149200439453,55.61171913146973,124.32148742675781,218.2405242919922,529.7473754882812,148.80347384231888,109.28588713261341,31291,130.40132464187943
550,1.2,8.86,5.0,18.0,5.661,0.009,012.CG5,300.4775427702998,3993.018199292287,13.288907259018528,012,0.0,1.212660789489746,2.382223606109619,5.071997284889221,22.09194564819336,3.821020823852144,3.987308556987653,1236,766.2999877929688,768.6111145019531,771.3636474609375,778.1721954345703,829.4025268554688,775.5542576860842,11.065522809827781,1236,9.254269893115406
551,12.2,0.0,30.0,90.0,372.0,0.63972747,012.CH10,535.1008863049829,23673.128270696405,44.24049534689765,012,0.0,4.590635299682617,8.50685977935791,13.02229118347168,49.144798278808594,9.511527450027762,6.46248716035617,9005,977.7127685546875,994.2518310546875,1010.94140625,1046.47998046875,1178.9923095703125,1025.9482509716825,40.392895151857516,9005,48.235482416994955
553,3.75,0.0,5.0,25.0,22.11,0.33209338,012.CHB,547.9854278971188,16343.389704854966,29.82449691695697,012,0.0,4.262982964515686,7.057875156402588,10.241697072982788,32.63713836669922,7.615005577551534,4.906377343330975,7956,1116.3236083984375,1156.9336853027344,1175.0631103515625,1197.9408569335938,1303.5845947265625,1179.9733534439417,28.828045531128925,7956,63.64974504550423
562,3.12,0.0,14.0,47.0,45.2,2.2365952,012.F5B0,436.037945297704,7527.350594703589,17.263063171174945,012,0.0,5.365566730499268,8.691568374633789,12.850604057312012,36.599422454833984,9.54313156104199,5.697461023119096,3215,205.1865234375,226.080322265625,245.51492309570312,267.0109405517578,347.5895690917969,249.16185847589423,26.284395366485406,3215,43.975335038394235
563,2.16,0.0,20.0,72.0,44.5,1.80705817,012.G1B,247.50340345348013,8729.645984266841,35.27081188565407,012,0.03781433030962944,4.544297814369202,8.108246803283691,12.624966859817505,28.847339630126953,8.90956881585249,5.53287827375526,2088,228.22323608398438,235.40033721923828,246.44107055664062,260.85645294189453,326.74591064453125,250.5127963362069,17.936078150375085,2088,22.289560252222515
565,1.55,,8.8,36.0,13.72,,012.J72,202.4732889623374,9829.942485170128,48.549329818011806,012,0.0,2.3483080863952637,4.438511371612549,8.08834171295166,28.878538131713867,5.9830231766412,5.037398617375904,1767,303.5547790527344,309.8303680419922,313.47967529296875,321.156982421875,376.1566467285156,317.10971986417655,11.568653073189862,1767,13.55494081144218
576,1.53,0.0,8.0,26.0,13.2,0.02726587,012.LA3,333.3711410240976,4603.621651682087,13.809298661965812,012,0.0,8.31823205947876,14.011849403381348,20.375706672668457,54.07686996459961,15.104214627416406,9.698334450320832,1914,377.6976623535156,387.4515151977539,413.342529296875,445.4122772216797,582.2150268554688,422.67600574712645,41.03254046195547,1914,44.97834339361083
577,3.9,0.0,26.0,65.0,102.0,0.22840383,012.LB1,576.1060014155955,6834.232549295785,11.862803950146072,012,0.030247146263718605,4.426774621009827,7.332736015319824,12.987865686416626,32.95597839355469,8.96502378435518,5.970828147791158,4730,428.7323303222656,449.8880386352539,467.15753173828125,492.50245666503906,654.1961669921875,477.1791754756871,38.44217816643609,4730,48.446845153421464
