regine,wood_din_µg/l,wood_totn_µg/l,wood_tdp_µg/l,wood_totp_µg/l,wood_toc_mg/l,upland_din_µg/l,upland_totn_µg/l,upland_tdp_µg/l,upland_totp_µg/l,upland_toc_mg/l,wood_ton_µg/l,wood_tpp_µg/l,upland_ton_µg/l,upland_tpp_µg/l
001.B2C,76.3,497.8,1.5,11.0,21.7,65.8,302.9,2.0,8.3,10.0,421.5,9.5,237.09999999999997,6.300000000000001
001.B3,76.5,501.4,1.3,10.9,21.9,68.1,306.0,2.0,8.4,10.1,424.9,9.6,237.9,6.4
001.B4,76.6,501.0,1.4,10.9,21.9,67.9,305.7,2.0,8.4,10.1,424.4,9.5,237.79999999999998,6.4
001.B5,76.1,502.5,1.3,11.0,22.0,68.1,306.0,2.0,8.4,10.1,426.4,9.7,237.9,6.4
001.B6,76.0,502.3,1.3,11.0,22.1,67.8,305.7,2.0,8.4,10.1,426.3,9.7,237.89999999999998,6.4
001.B7,75.3,506.1,1.3,11.0,22.4,68.8,306.8,2.0,8.5,10.1,430.8,9.7,238.0,6.5
001.B8,75.5,503.7,1.3,11.0,22.2,67.8,305.6,2.0,8.4,10.1,428.2,9.7,237.8,6.4
001.C1,74.9,507.5,1.3,11.1,22.6,68.9,306.8,2.0,8.5,10.1,432.6,9.799999999999999,237.9,6.5
001.C2,74.9,505.0,1.3,11.1,22.4,67.7,305.3,2.0,8.5,10.1,430.1,9.799999999999999,237.60000000000002,6.5
001.C31,74.5,507.4,1.3,11.1,22.6,68.2,306.0,2.0,8.6,10.1,432.9,9.799999999999999,237.8,6.6
001.C32,74.0,507.1,1.3,11.2,22.7,67.5,304.9,2.0,8.6,10.1,433.1,9.899999999999999,237.39999999999998,6.6
001.C3A,74.3,508.7,1.3,11.1,22.8,68.6,306.3,2.0,8.6,10.1,434.4,9.799999999999999,237.70000000000002,6.6
001.C3B1,74.4,509.8,1.2,11.1,22.9,69.0,306.9,2.0,8.6,10.1,435.4,9.9,237.89999999999998,6.6
001.C3B2,74.3,510.8,1.2,11.2,23.0,69.2,307.1,2.0,8.7,10.1,436.5,10.0,237.90000000000003,6.699999999999999
001.C3C,74.9,510.1,1.2,11.1,22.9,69.7,307.8,2.0,8.6,10.1,435.20000000000005,9.9,238.10000000000002,6.6
001.C4,74.7,504.6,1.3,11.1,22.4,67.3,304.8,2.0,8.5,10.1,429.90000000000003,9.799999999999999,237.5,6.5
001.C5,74.0,505.1,1.4,11.2,22.5,66.7,303.9,2.0,8.5,10.1,431.1,9.799999999999999,237.2,6.5
001.C6,74.3,504.2,1.4,11.2,22.4,66.5,303.7,2.0,8.5,10.1,429.9,9.799999999999999,237.2,6.5
