regine,trans_totp,trans_tdp,trans_tpp,trans_totn,trans_din,trans_ton,trans_ss,trans_toc,ret_totp,ret_tdp,ret_tpp,ret_totn,ret_din,ret_ton,ret_ss,ret_toc
001.B1B3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.B1B4,0.357858,0.543294,0.198356,0.605796,0.533487,0.833923,0.001677,0.490839,0.642142,0.456706,0.801644,0.394204,0.466513,0.166077,0.998323,0.509161
001.B1C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.B1D,0.474589,0.64369,0.311122,0.529914,0.458128,0.783708,0.008984,0.60574,0.525411,0.35631,0.688878,0.470086,0.541872,0.216292,0.991016,0.39426
001.B1E,0.450587,0.643473,0.257505,0.619138,0.541206,0.84882,0.002217,0.558735,0.549413,0.356527,0.742495,0.380862,0.458794,0.15118,0.997783,0.441265
001.B21,0.663249,0.797534,0.496165,0.940056,0.921641,0.980548,0.041321,0.741364,0.336751,0.202466,0.503835,0.059944,0.078359,0.019452,0.958679,0.258636
001.B22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.B2A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.B2B,0.742591,0.852284,0.590572,0.895054,0.864801,0.964806,0.084645,0.795501,0.257409,0.147716,0.409428,0.104946,0.135199,0.035194,0.915355,0.204499
001.B2C,0.927733,0.962512,0.865207,0.9878,0.983799,0.996172,0.646786,0.927756,0.072267,0.037488,0.134793,0.0122,0.016201,0.003828,0.353214,0.072244
001.B3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.B4,0.967597,0.983532,0.937229,0.999269,0.999026,0.999772,0.908324,0.961878,0.032403,0.016468,0.062771,0.000731,0.000974,0.000228,0.091676,0.038122
001.B5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.B6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.B7,0.931711,0.964649,0.872153,0.997853,0.99714,0.999331,0.674091,0.930955,0.068289,0.035351,0.127847,0.002147,0.00286,0.000669,0.325909,0.069045
001.B8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.C2,0.91626,0.9563,0.845461,0.996586,0.995453,0.998935,0.570858,0.918706,0.08374,0.0437,0.154539,0.003414,0.004547,0.001065,0.429142,0.081294
001.C31,0.702409,0.825194,0.541318,0.957242,0.943791,0.986294,0.058293,0.768144,0.297591,0.174806,0.458682,0.042758,0.056209,0.013706,0.941707,0.231856
001.C32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.C3A,0.85201,0.921079,0.737075,0.978323,0.971264,0.993175,0.343815,0.857554,0.14799,0.078921,0.262925,0.021677,0.028736,0.006825,0.656185,0.142446
001.C3B1,0.580104,0.734261,0.408554,0.710046,0.647467,0.887276,0.020767,0.683388,0.419896,0.265739,0.591446,0.289954,0.352533,0.112724,0.979233,0.316612
001.C3B2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.C3C,0.403013,0.615437,0.196917,0.722381,0.653306,0.900036,0.000679,0.485388,0.596987,0.384563,0.803083,0.277619,0.346694,0.099964,0.999321,0.514612
001.C4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.C5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.C6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.D1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.D2,0.708406,0.829318,0.548474,0.946257,0.929603,0.982637,0.061543,0.772231,0.291594,0.170682,0.451526,0.053743,0.070397,0.017363,0.938457,0.227769
001.D3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.D4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.E1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
